ビール六本	ビールろっぽん	Six bouteilles de bière			ビール<span class="kanji">六本<span class="furigana">ろっぽん</span></span>			
大きい	おおきい	Grand, gros			<span class="kanji">大<span class="furigana">おお</span></span>きい			
大いに	おおいに	Très			<span class="kanji">大<span class="furigana">おお</span></span>いに			
大金	たいきん	Grosse somme d'argent			<span class="kanji">大金<span class="furigana">たいきん</span></span>			
大きさ	おおきさ	Grandeur			<span class="kanji">大<span class="furigana">おお</span></span>きさ			
大水	おおみず	Inondation		8	<span class="kanji">大水<span class="furigana">おおみず</span></span>			
大晦日	おおみそか	Le dernier jour de l'année, la Saint Sylvestre			<span class="kanji">大晦日<span class="furigana">おおみそか</span></span>			
大人	おとな	Adulte			<span class="kanji">大人<span class="furigana">おとな</span></span>			
小さい	ちいさい	Petit			<span class="kanji">小<span class="furigana">ちい</span></span>さい			
小人	こびと	Nain, nabot			<span class="kanji">小人<span class="furigana">こびと</span></span>			
小人	しょうじん	Esprit étroit; personne insignifiante			<span class="kanji">小人<span class="furigana">しょうじん</span></span>			
小人	しょうにん	Enfant			<span class="kanji">小人<span class="furigana">しょうにん</span></span>			
大小	だいしょう	Grand et petit; dimension			<span class="kanji">大小<span class="furigana">だいしょう</span></span>			
小金	こがね	Petite somme, petite fortune			<span class="kanji">小金<span class="furigana">こがね</span></span>			
中	なか	Intérieur			<span class="kanji">中<span class="furigana">なか</span></span>			
日本中	にほんじゅう、にっぽんじゅう	Dans tout le japon			<span class="kanji">日本中<span class="furigana">にほんじゅう</span></span>			
一日中	いちにちじゅう	Toute la journée			<span class="kanji">一日中<span class="furigana">いちにちじゅう</span></span>			
日中	にっちゅう	Pendant la journée; Nippo-Chinois, Sino-Japonais			<span class="kanji">日中<span class="furigana">にっちゅう</span></span>			
風	かぜ	Vent			<span class="kanji">風<span class="furigana">かぜ</span></span>			
風水	ふうすい	Vent et eau : feng shui			<span class="kanji">風水<span class="furigana">ふうすい</span></span>			
風土	ふうど	Climat, caractère			<span class="kanji">風土<span class="furigana">ふうど</span></span>			
日本風	にほんふう	De style japonais			<span class="kanji">日本風<span class="furigana">にほんふう</span></span>			
中風	ちゅうぶう、ちゅうふう	Paralysie			<span class="kanji">中風<span class="furigana">ちゅうぶう</span></span>			
そよ風	そよかぜ	Brise			そよ<span class="kanji">風<span class="furigana">かぜ</span></span>			
雨	あめ	Pluie			<span class="kanji">雨<span class="furigana">あめ</span></span>			
風雨	ふうう	Vent et pluie			<span class="kanji">風雨<span class="furigana">ふうう</span></span>			
大雨	おおあめ	Pluie violente			<span class="kanji">大雨<span class="furigana">おおあめ</span></span>			
小雨	こさめ	Bruine			<span class="kanji">小雨<span class="furigana">こさめ</span></span>			
雨水	あまみず	Eau de pluie			<span class="kanji">雨水<span class="furigana">あまみず</span></span>			
にわか雨	にわかあめ	Averse			にわか<span class="kanji">雨<span class="furigana">あめ</span></span>			
下	した	Bas, inférieur			<span class="kanji">下<span class="furigana">した</span></span>			
下	もと	Bas, inférieur			<span class="kanji">下<span class="furigana">もと</span></span>			
下げる	さげる	Abaisser, prononcer (sentence)			<span class="kanji">下<span class="furigana">さ</span></span>げる			
下ろす	おろす	Abaisser, prononcer (sentence)			<span class="kanji">下<span class="furigana">お</span></span>ろす			
下す	くだす	Abaisser, prononcer (sentence)			<span class="kanji">下<span class="furigana">くだ</span></span>す			
下がる	さがる	Pendre			<span class="kanji">下<span class="furigana">さ</span></span>がる			
下りる	おりる	Descendre			<span class="kanji">下<span class="furigana">お</span></span>りる			
下る	くだる	Descendre			<span class="kanji">下<span class="furigana">くだ</span></span>る			
下さる	くださる	Donner			<span class="kanji">下<span class="furigana">くだ</span></span>さる			
下水	げすい	Égouts			<span class="kanji">下水<span class="furigana">げすい</span></span>			
風下	かざしも	Sous le vent (côté)			<span class="kanji">風下<span class="furigana">かざしも</span></span>			
上	うえ	Haut, supérieur			<span class="kanji">上<span class="furigana">うえ</span></span>			
上げる	あげる	Élever			<span class="kanji">上<span class="furigana">あ</span></span>げる			
上がる	あがる	Monter			<span class="kanji">上<span class="furigana">あ</span></span>がる			
上る	のぼる	Monter			<span class="kanji">上<span class="furigana">のぼ</span></span>る			
上せる	のぼせる	Soulever (une question)			<span class="kanji">上<span class="furigana">のぼ</span></span>せる			
上す	のぼす	Soulever (une question)			<span class="kanji">上<span class="furigana">のぼ</span></span>す			
川	かわ	Rivière			<span class="kanji">川<span class="furigana">かわ</span></span>			
川上	かわかみ	Amont			<span class="kanji">川上<span class="furigana">かわかみ</span></span>			
川下	かわしも	Aval			<span class="kanji">川下<span class="furigana">かわしも</span></span>			
小川	こがわ	Ruisseau			<span class="kanji">小川<span class="furigana">こがわ</span></span>			
ライン川	ラインがわ	Le Rhin			ライン<span class="kanji">川<span class="furigana">がわ</span></span>			
中川	なかがわ	Nakagawa (nom de famille)			<span class="kanji">中川<span class="furigana">なかがわ</span></span>			
山	やま	Montagne			<span class="kanji">山<span class="furigana">やま</span></span>			
山水	さんすい	Paysage			<span class="kanji">山水<span class="furigana">さんすい</span></span>			
