四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
朝有紅顔	ちょうゆうこうがん	人生の無常のたとえ。	5	341	諸行無常、愛別離苦、会者定離					
直情経行	ちょくじょうけいこう	周囲の状況や相手の気持ちにかまわず、自分の思ったとおりにふるまうこと。	5	342	短慮軽率、猪突猛進、直言直行	熟慮断行				
治乱興亡	ちらんこうぼう	世の中がよく治まることと、乱れて亡びること。	5	342	治乱興廃					
知略縦横	ちりゃくじゅうおう	才知をはたらかせた計略を思いのままにあやつること。	5	343	機略縦横、知謀縦横					
痛定思痛	つうていしつう	過ぎ去った苦難を振り返り、いまの戒めとする意。	5	345						
適材適所	てきざいてきしょ	その人の能力に適した地位や任務につけること。	5	347	黜陟幽明、量才録用	大器小用、大材小用、驥服塩車				-
適者生存	てきしゃせいぞん	環境に最も適したものが生き残り、適していないものは淘汰され滅びること。	5	347	自然淘汰、生存競争、優勝劣敗、弱肉強食					
鉄樹開花	てつじゅかいか	物事の見込みがないこと。	5	347	雄鶏生卵					
鉄心石腸	てっしんせきちょう	-	5	348	-	-	-	鉄腸石心		
鉄腸石心	てっちょうせきしん	強い精神、堅い意志のたとえ。	5	348	堅忍不抜、鉄意石心、鉄肝石腸					
手練手管	てれんてくだ	人をだまし操る手段や技巧のこと。	5	349						
天一地二	てんいちちに	天の数(すう)と地の数。	5	349						
伝家宝刀	でんかのほうとう	いざという時以外にはめったに使わない、とっておきの物や手段。	5	350						-
電光石火	でんこうせっか	動作や振る舞いが非常にすばやいこと。	5	351						-
天災地変	てんさいちへん	天地の間に起こる災難や異変。	5	351	天変地異、天変地変					
天姿国色	てんしこくしょく	生まれながらの絶世の美人をいう。	5	352	傾城傾国、一顧傾城、傾国美女					
天孫降臨	てんそんこうりん	記紀（古事記と日本書紀）の神話の中で、孫の瓊瓊杵尊が天照大神の命を受けて高天原から高千穂に天降ったこと。	5	352						
天地一指	てんちいっし	すべての対立をこえた絶対的な観点からすると、天も地も同じ一本の指にすぎないということ。	5	353	万物一馬					
天地神明	てんちしんめい	天と地のすべての神々のこと。	5	353	天神地祇					
天地無用	てんちむよう	荷物の上下を逆さまにしてはいけない。	5	353						-
天長地久	てんちょうきゅう	天地は永遠で尽きることがないこと。	5	353	天地長久、天壌無窮					
天馬行空	てんばこうくう	考え方や行動が何ものにも拘束されず自由奔放なこと。	5	354	自由奔放、不羈奔放					
田夫野人	でんぷやじん	-	5	354	-	-	-	田夫野老		
田夫野老	でんぷやろう	ふるまいが粗野で教養のない人。	5	354	田夫野人					
天変地異	てんぺんちい	地震・暴風など天地間に起こる自然の異変。	5	354	天変地変、天災地変	地平天成				-
天門登八	てんもんとうはち	仕官して、その頂点に近づけばかえって自分の身を危うくすることのたとえ。	5	355						
天理人欲	てんりじんよく	天の条理と人の欲望。人にある天然の本性と欲望。	5	356						
灯火可親	とうかかしん	涼しい秋は、あかりの下で読書するのに適しているということ。	5	356	新涼灯火					
冬夏青青	とうかせいせい	かたく守って変わらない節操のこと。	5	356						
堂下周屋	どうかのしゅうおく	廊下のこと。	5	357						
